Journal,Issn,Eissn,Description,Publisher,Societies,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Journal of Eating Disorders,2050-2974,"","""The Journal of Eating Disorders is pleased to announce a Special Issue singularly devoted to the Medical Assessment and Management in Eating Disorders.""",BioMed Central,"",https://www.biomedcentral.com/getpublished/editorial-policies,2,"""BMC endorses the Force 11 Data Citation Principles and requires that all publicly available datasets be fully referenced in the reference list with an accession number or unique identifier such as a digital object identifier (DOI).""",1,"""All authors must include an Availability of Data and Materials section in their manuscript detailing where the data supporting their findings can be found. Authors who do not wish to share their data must state that data will not be shared, and give the reason.""",1,"""The manuscript should include a description in the Availability of Data and Materials section of how the editors and reviewers can access the unreported software application or custom code.""",1,"""Submission of a manuscript to a BMC journal implies that any unique materials described in the manuscript will be freely available to scientists wishing to use them for non-commercial purposes, without breaching participant confidentiality.""",1,"""We strongly recommend that authors refer to the minimum reporting guidelines for health research hosted by the EQUATOR Network when preparing their manuscript, and FAIRsharing.org for reporting checklists for biological and biomedical research, where applicable. """,0,Only mentions clinical trials.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,6
Journal of Developmental and Physical Disabilities,1056-263X,1573-3580,"""The Journal of Developmental and Physical Disabilities is an interdisciplinary forum for the publication of original research and clinical reports from a variety of fields serving persons with developmental and physical disabilities. """,Springer,"",https://perma.cc/DGH3-ZKL4,1,"""The journal encourages authors to cite any publicly available research data in their reference list as well as the data availability statement. References to datasets (data citations) must include a persistent identifier (such as a DOIs, Handles, ARKs, or archival accession codes) where available.""",1,"""All manuscripts must contain the following sections under the heading 'Declarations'. ...Availability of data and material (data transparency)"" ""The journal encourages authors, where possible and applicable, to deposit data that support the findings of their research in a public repository.""",1,"""""All manuscripts must contain the following sections under the heading 'Declarations'. ...Code availability (software application or custom code)""",1,"""All manuscripts must contain the following sections under the heading 'Declarations'. ...Availability of data and material (data transparency)""",1,"""Springer Nature advocates complete and transparent reporting of biomedical and biological research and research with biological applications. Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,"""To ensure the integrity of the reporting of patient-centered trials, authors must register prospective clinical trials (phase II to IV trials) in suitable publicly available repositories. ... Purely observational trials will not require registration."" Required for clinical trials only.",0,No mention.,0,No mention.,0,No mention.,0,No mention.,5
Journal of Contextual Behavioral Science,2212-1447,2212-1455,"""Contextual Behavioral Science is a systematic and pragmatic approach to the understanding of behavior, the solution of human problems, and the promotion of human growth and development. Contextual Behavioral Science uses functional principles and theories to analyze and modify action embedded in its historical and situational context. The goal is to predict and influence behavior, with precision, scope, and depth, across all behavioral domains and all levels of analysis, so as to help create a behavioral science that is more adequate to the challenge of the human condition.""",Elsevier,"",https://perma.cc/GN42-9SSR,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Journal of Consumer Psychology,1057-7408,1532-7663,"""The Journal of Consumer Psychology (JCP) publishes top-quality research articles that contribute both theoretically and empirically to our understanding of the psychology of consumer behavior. JCP is the official journal of the Society for Consumer Psychology.""",Elsevier,"",https://perma.cc/FD66-ZGTE,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""The policy of the Journal of Consumer Psychology is to publish papers only if the data, methods used in the analysis, and materials used to conduct the research are clearly and precisely documented and are maximally available to any researcher for purposes of reproducing the results or replicating the procedure. Authors using original data must:a. make the data available upon request.b. include all variables, treatment conditions, and observations described in the manuscript.c. provide a full account of the procedures used to collect, preprocess, clean, or generate the data.d. provide program code, scripts, codebooks, and other documentation sufficient to precisely reproduce all published results.e. provide research materials and description of procedures necessary to conduct an independent replication of the research. In rare cases, despite authors' best efforts, some or all data or materials cannot be shared for legal or ethical reasons. In such cases, authors must inform the editors at the time of submission. Authors are encouraged to anticipate data and material sharing at the beginning of their projects to provide for these circumstances. It is understood that in some cases access will be provided under restrictions to protect confidential or proprietary information. Editors may grant exceptions to data and material access requirements provided authors:a. explain the restrictions on the dataset or materials and how they preclude public access.b. provide a public description of the steps others should follow to request access to the data or materials.c. provide software and other documentation that will precisely reproduce all published results.d. provide access to all data and materials for which the constraints do not apply."" Intent is a requirement, but ""make the data available upon request"" means that it isn't required to be placed in an independent repository.",0,"""The policy of the Journal of Consumer Psychology is to publish papers only if the data, methods used in the analysis, and materials used to conduct the research are clearly and precisely documented and are maximally available to any researcher for purposes of reproducing the results or replicating the procedure. Authors reusing data available from public repositories must provide program code, scripts for statistical packages, and other documentation sufficient to allow an informed researcher to precisely reproduce all published results.Authors using original data must:a. make the data available upon request."" Stated as a requirement, but only to share upon request and not to put in an independent repository.",0,"""The policy of the Journal of Consumer Psychology is to publish papers only if the data, methods used in the analysis, and materials used to conduct the research are clearly and precisely documented and are maximally available to any researcher for purposes of reproducing the results or replicating the procedure. Authors reusing data available from public repositories must provide program code, scripts for statistical packages, and other documentation sufficient to allow an informed researcher to precisely reproduce all published results.Authors using original data must:a. make the data available upon request."" Stated as a requirement, but only to share upon request and not to put in an independent repository.",1,"""The policy of JCP is to publish papers where authors follow standards for disclosing key aspects of the research design and data analysis. Authors are encouraged to review the standards available for many research applications from http://www.equatornetwork.org/ and use those that are relevant for the reported research applications."" ""A comprehensive list of the type of information that authors should provide in order to ensure that their research is as transparent and reproducible as possible is provided in the appendix of this author packet. To enhance the transparency and subsequent reproducibility of the reported research, submissions should include a ""Methodological Details Appendix"" (MDA) that provides additional details about the specific methodology used in the research: details that might be too lengthy to present in the main body of the manuscript, but (a) would help the review team fully understand how the research was actually conducted, and (b) would help future readers of the published article replicate the research precisely."" Intent seems to be required, but language is ""should"" -- not a requirement.",0,"""Authors may choose to preregister their research with an analysis plan in an independent, institutional registry (e.g., http://clinicaltrials.gov/ , http://socialscienceregistry.org/ , http://openscienceframework.org/ , http://egap.org/, http://ridie.3ieimpact.org/). Preregistration of studies involves registering the study design, variables, and treatment conditions. Including an analysis plan involves specification of sequence of analyses or the statistical model that will be reported."" Does not include a disclosure requirement.",0,"""Authors may choose to preregister their research with an analysis plan in an independent, institutional registry (e.g., http://clinicaltrials.gov/ , http://socialscienceregistry.org/ , http://openscienceframework.org/ , http://egap.org/, http://ridie.3ieimpact.org/). Preregistration of studies involves registering the study design, variables, and treatment conditions. Including an analysis plan involves specification of sequence of analyses or the statistical model that will be reported."" Does not include a disclosure requirement.",0,No mention.,0,No mention.,0,No mention.,2
Journal of Clinical Sport Psychology,1932-9261,1932-927X,"""The Journal of Clinical Sport Psychology (JCSP), a scholarly, peer-reviewed journal, addresses psychological care and clinical issues of athletes, exercisers, and other performers. Clinical sport psychology represents an integration of therapeutic strategies and mental skills training approaches for performance, health, and overall well-being.""",,"",https://journals.humankinetics.com/view/journals/jcsp/jcsp-overview.xml?tab_body=author-guidelines,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0
Journal of Clinical Psychiatry,0160-6689,1555-2101,"""The Journal of Clinical Psychiatry (JCP), an international peer-reviewed journal, is the official publication of the American Society of Clinical Psychopharmacology. Founded in 1939, JCP is the leading resource providing clinical information on mental health topics to psychiatrists and other medical professionals while exploring the newest advances in diagnosis and treatment. Disorders covered include depression, bipolar disorder, schizophrenia, anxiety, addiction, posttraumatic stress disorder, and attention-deficit/hyperactivity disorder. A variety of Continuing Medical Education activities are also offered through the CME Institute.""",,"",https://perma.cc/J3XU-47XC,1,"""For manuscripts that report analyses of preexisting data sets, provide details related to accessing the data set, including1. the individual or organization that owns the data set (ie, holds copyright)2. where the data set resides (if possible, provide a URL at which it can be accessed)3. contact information of someone who can provide access to or further information about the data set, if it is not accessible via a URLThis information should be inserted as a statement into the texts Method, eg, The original data set is available from..., or any wording that's appropriate, or inserted at the end of the article (just before references), eg, Additional information: The [full proper name of database] can be found at [specific URL]."" Rules are clear, but they explicitly do not put the data as a citation into the references.",0,No mention.,0,No mention.,0,No mention.,1,"""CONSORT StatementThe CONSORT Statement provides guidelines for improved reporting of clinical trials through the use of a checklist and study flow diagram.PRISMA StatementThe PRISMA Statement provides guidelines for transparent reporting of systematic reviews and meta-analyses through the use of a checklist and study flow diagram.""",0,"""Clinical trials registration number, with a hot-link or URL to the registration page, must be included in both the abstract and text of any manuscript reporting a clinical trial."" Requires registration only for clinical trials.",0,No mention.,0,No mention.,0,No mention.,0,No mention.,2
Journal of Clinical Epidemiology,0895-4356,1878-5921,"""The Journal of Clinical Epidemiology aims at promoting the quality of clinical and patient-oriented health care research ...""",Elsevier,"",https://www.elsevier.com/journals/journal-of-clinical-epidemiology/0895-4356/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",2,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",2,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",2,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1,"""Ensure that appropriate reporting guidance is followed by consulting the EQUATOR Network. Authors should include a completed checklist with all appropriate submissions.""",2,"""Similarly, registration of inferential (i.e., hypothesis testing) observational studies and systematic reviews is required (e.g., PROSPERO, FigShare, Open Science Framework).""",2,"""All analysis plans need to be pre-registered for inferential studies/knowledge synthesis.""",1,"""The journal encourages the submission of replication studies that are related to methods on clinical epidemiology topics.""",3,"""The journal encourages the submission of registered reports that are related to methods on clinical epidemiology topics.""",0,No mention.,16
Journal of Child Language,0305-0009,1469-7602,"""A key publication in the field, Journal of Child Language publishes articles on all aspects of the scientific study of language behaviour in children, the principles which underlie it, and the theories which may account for it. The international range of authors and breadth of coverage allow the journal to forge links between many different areas of research including psychology, linguistics, cognitive science and anthropology. This interdisciplinary approach spans a wide range of interests: phonology, phonetics, morphology, syntax, vocabulary, semantics, pragmatics, sociolinguistics, and any other recognised facet of language study. Aspects of reading development are considered when there is a clear language component. """,Cambridge University Press,"",https://perma.cc/MA7P-VMSK,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,3,"""JCL welcomes inquiries from authors interested in Registered Reports, an important new article type in the journal. Please familiarize yourself with the special information on Registered Reports at JCL.""",0,No mention.,3
Journal of Career Development,0894-8453,1556-0856,"""The Journal of Career Development (JCD) provides professionals in counseling, psychology, education, student personnel, human resources, and business management with the most up-to-date concepts, ideas, and methodology in career development theory, research, and practice. """,SAGE,"",https://journals.sagepub.com/author-instructions/JCD,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0
Journal of Black Psychology,0095-7984,1552-4558,"""The Journal of Black Psychology has been the leading forum on the psychological study of Black populations for more than 35 years. Founded and sponsored by the Association of Black Psychologists, The Journal of Black Psychology presents the most innovative scholarly research and theory on the behavior of Black and other populations from Black or Afrocentric perspectives.""",SAGE,"",https://journals.sagepub.com/author-instructions/JBP,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0
Journal of Behavior Therapy and Experimental Psychiatry,0005-7916,1873-7943,"""The Journal welcomes contributions to the understanding and treatment of psychopathology. Such contributions may stem from various theoretical perspectives. The Journal primarily focuses on (quasi)experimental tests of psychological approaches to psychopathology, though contributions from medicine, biology, sociology, or epidemiology may be considered. """,Elsevier,"",https://perma.cc/2AL5-3AD2,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,"""Clinical trials (RCTs and others) should be registered in an official trial register and the registration number should be reported. These studies should include a flow diagram according to the most recent CONSORT guidelines and a CONSORT checklist should accompany the submission. See http://www.consort-statement.org for the guidelines and forms."" Should, and clinical trials only.",0,No mention.,1,"""Replications are essential in science and are, to the present editor's opinion, often undervalued. Short reports of attempts to replicate experimental studies, whether successful, or failed, and whether applied or fundamental, are considered for publication, if appropriately powered. The maximum number of words is 2500 for these reports.""",0,No mention.,0,No mention.,2
Journal of Attention Disorders,1087-0547,1557-1246,"""As research in the field of attention grows, so does your need to keep up with the latest developments. What better source than Journal of Attention Disorders, the only journal devoted exclusively to research and clinical issues related to attention""",SAGE,"",https://journals.sagepub.com/author-instructions/JAD,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0
Journal of Applied Sport Psychology,1041-3200,1533-1571,"""The Journal of Applied Sport Psychology (JASP) is a refereed journal designed to significantly advance thought, theory, and research on applied aspects of sport and exercise psychology. Submissions such as experimental studies, qualitative research, correlational studies, case studies, position papers, critical reviews, theoretical developments specific to applied research conducted in sport and/or exercise settings, or having significant applied implications to sport and exercise, are appropriate content for the JASP.""",Taylor & Francis,"",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=uasp20,1,"""Authors are required to cite any data sets referenced in the article and provide a Data Availability Statement.""",1,"""Authors are required to cite any data sets referenced in the article and provide a Data Availability Statement.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,2,Journal offers all Open Science Badges.,4
Journal of Applied Developmental Psychology,0193-3973,1873-7900,"""The Journal of Applied Developmental Psychology (JADP) publishes scholarly empirical research relating to human development. The Journal focuses on two key concepts: human development and application of knowledge. Human development refers to the transformations and changes that occur during the life cycle and the processes or mechanisms which influence individuals' behavioral, cognitive, emotional, and moral development.""",Elsevier,"",https://perma.cc/RNK7-6F3J,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods, and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods, and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Journal of Applied Behavioral Science,0021-8863,1552-6879,"""The Journal of Applied Behavioral Science (JABS) brings to scholars and professionals the latest theory and research on processes and techniques of change in groups, organizations and larger systems, and academic-practitioner collaborations. The journal also informs professionals and organizations on issues in group, organizational and system dynamics.""",SAGE,"",https://journals.sagepub.com/author-instructions/JAB,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0
Journal of Anxiety Disorders,0887-6185,1873-7897,"""Journal of Anxiety Disorders is an interdisciplinary journal that publishes research papers dealing with all aspects of anxiety disorders for all age groups (child, adolescent, adult and geriatric). Manuscripts that focus on disorders formerly categorized as anxiety disorders (obsessive-compulsive disorder, posttraumatic stress disorder) and the new category of illness anxiety disorder are also within the scope of the journal.""",Elsevier,"",https://perma.cc/2HPF-WNEP,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Journal of Adolescent Health,1054-139X,1879-1972,"""The Journal of Adolescent Health is a multidisciplinary scientific Journal dedicated to improving the health and well-being of adolescents and young adults. The Journal publishes new research findings in the field of Adolescent and Young Adult Health and Medicine ranging from the basic biological and behavioral sciences to public health and policy.""",Elsevier,"",https://www.jahonline.org/content/authorinfo,1,Gives clear examples for citation of data sets,0,No mention.,0,No mention.,0,No mention.,1,"""Authors are strongly encouraged to include the CONSORT Flow Chart Diagram and a CONSORT Checklist (MSWord document) with their manuscript submission."" Encouraged.",0,"""Authors reporting results of a clinical trial must affirm that the study has been registered at www.clinicaltrials.gov or another WHO-approved national or international registry prior to the enrollment of the first subject. A list of registries can be found at http://www.icmje.org/about-icmje/faqs/clinical-trials-registration/. The trial registration number must be listed on the title page of the manuscript submission packet."" Clinical trials only.",0,No mention.,0,No mention.,0,No mention.,0,No mention.,2
Journal of Adolescence,0140-1971,1095-9254,"""The Journal of Adolescence is an international, broad based, cross-disciplinary journal that addresses issues of professional and academic importance concerning development between puberty and the attainment of adult status within society.""",Elsevier,"",https://perma.cc/7EHP-X55F,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
Intervention in School and Clinic,1053-4512,1538-4810,"""Intervention in School and Clinic (ISC) equips teachers and clinicians with hands-on tips, techniques, methods, and ideas for improving assessment, instruction, and management for individuals with learning disabilities or behavior disorders. Articles focus on curricular, instructional, social, behavioral, assessment, and vocational strategies and techniques that have a direct application to the classroom settings. Published by the Hammill Institute on Disabilities and SAGE in association with the Council for Learning Disabilities.""",SAGE,"",https://journals.sagepub.com/author-instructions/ISC,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0
Internet Interventions,2214-7829,"","""The aim of Internet Interventions is to publish scientific, peer-reviewed, high-impact research on Internet interventions and related areas.""",Elsevier,"",https://perma.cc/2S66-YXWZ,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
International Psychogeriatrics,1041-6102,1741-203X,"""A highly respected, multidisciplinary journal, International Psychogeriatrics publishes high quality original research papers in the field of psychogeriatrics. The journal aims to be the leading peer reviewed journal dealing with all aspects of the mental health of older people throughout the world. Circulated to over 1,000 members of the International Psychogeriatric Association, International Psychogeriatrics also features important editorials, provocative debates, literature reviews, book reviews and letters to the editor.""",Cambridge University Press,"",https://perma.cc/U6KZ-UNA8,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1,"""A check list and flow chart in accordance with the CONSORT guidelines which can be found at http://www.consort-statement.org. Please send in the checklist as a supplementary file and include the flow chart as Figure 1 in the manuscript."" Clinical trials only.",0,"""We will not review any paper submitted to us reporting a randomized clinical trial unless the trial was registered in a public trial registry from the date it commenced recruitment."" Clinical trials only.",0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
International Journal of Sports Science & Coaching,1747-9541,2048-397X,"""The International Journal of Sports Science & Coaching is a peer-reviewed, international, academic/professional journal, which aims to bridge the gap between coaching and sports science. The journal will integrate theory and practice in sports science, promote critical reflection of coaching practice, and evaluate commonly accepted beliefs about coaching effectiveness and performance enhancement.""",SAGE,"",https://journals.sagepub.com/author-instructions/SPO,0,Mention without guidance.,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to:  share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data, we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0
International Journal of Psychophysiology,0167-8760,1872-7697,"""The International Journal of Psychophysiology is the official journal of the International Organization of Psychophysiology, and provides a respected forum for the publication of high quality original contributions on all aspects of psychophysiology. The journal is interdisciplinary and aims to integrate the neurosciences and behavioral sciences.""",Elsevier,"",https://perma.cc/H3EE-9CF2,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission."" Encouraged, but not required.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1,"""The Editorial Board strongly encourages authors to consult and report their use of guidelines appropriate to their psychophysiology research methods. Guidelines papers for the use of heart rate variability (HRV), electrodermal activity, impedance cardiography, , human electromyography (EMG), startle eye-blink electromyography, electroencephalogram (EEG), event-related potentials (ERPs), and magnetoencephalography (MEG) can be found here""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,2
International Journal of Psychology,1464-066X,"","""The International Journal of Psychology (IJP) advances psychological research of interest and relevance for the human condition around the world and serves as the outlet for internationally relevant basic and applied research in scientific psychology.""",Wiley,"",https://perma.cc/G6PW-925V ,0,No mention. ,0,No mention. ,0,No mention. ,0,No mention. ,0,No mention. ,0,No mention. ,0,No mention. ,0,No mention. ,0,No mention. ,0,No mention. ,0
International Journal of Psychoanalysis,0020-7578,1745-8315,"""The International Journal of Psychoanalysis  is a fully peer reviewed journal published six times a year (February, April, June, August, October and December) since its merger with  The International Review of Psycho-Analysis in 1994. It publishes extensive contributions by authors throughout the world - facilitated by a system of international editorial boards and the policy of allowing submission and review in six languages, followed by translation of accepted papers at the Journal's expense.""",Taylor & Francis,"",https://perma.cc/LL89-X7BX,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0
International Journal of Intercultural Relations,0147-1767,1873-7552,"""IJIR is dedicated to advancing knowledge and understanding of theory, research and practice in the field of intercultural relations, including, but not limited to, topics such as immigrant acculturation and integration; intergroup relations, and intercultural communication that have implications for social impact. The journal publishes quantitative and qualitative empirical research and reviews of research literature. Both full length papers and brief reports are published with high priority given to manuscripts that join theory and research with applications in the areas of education, health, social welfare and organizational and community development. IJIR provides an interdisciplinary forum for scholars in fields of psychology, communication, education, management, sociology and related disciplines.""",Elsevier,"",https://perma.cc/QZW3-A5TM,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,1
International Journal of Hygiene and Environmental Health,1438-4639,1618-131X,"""The International Journal of Hygiene and Environmental Health serves as a multidisciplinary forum for original reports on exposure assessment and the reactions to and consequences of human exposure to the biological, chemical, and physical environment. Research reports, short communications, reviews, scientific comments, technical notes, and editorials will be peer-reviewed before acceptance for publication. """,Elsevier,"",https://www.elsevier.com/journals/international-journal-of-hygiene-and-environmental-health/1438-4639/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings."" ""To foster transparency, we encourage you to state the availability of your data in your submission. "" Encouraged, not required.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1,"""The manuscript should be in line with the Recommendations for the Conduct, Reporting, Editing and Publication of Scholarly Work in Medical Journals and""",0,No mention.,0,No mention.,0,No mention.,0,No mention.,0,No mention.,2
